808000:	18      	CLC 
8081ED:	A9EE5F  	LDA #$5FEE
8081F0:	9E0000  	STZ $0000,x
8081F3:	547E7E  	MVN $7E,$7E
8081F6:	A98B54  	LDA #$548B
8081F9:	A2AB6B  	LDX #$6BAB
8081FC:	8DCE06  	STA $06CE
8081FF:	8ED206  	STX $06D2
808202:	E220    	SEP #$20
808204:	AB      	PLB 
808205:	20F382  	JSR $82F3
808208:	9026    	BCC $8230
80820A:	A23412  	LDX #$1234
80820D:	863B    	STX $3B
80820F:	A25634  	LDX #$3456
808212:	863D    	STX $3D
808214:	A28967  	LDX #$6789
808217:	863F    	STX $3F
808219:	A901    	LDA #$01
80821B:	8D8A07  	STA $078A
80821E:	A20303  	LDX #$0303
808221:	8E8B07  	STX $078B
808224:	A20000  	LDX #$0000
808227:	8E8D07  	STX $078D
80822A:	8E8F07  	STX $078F
80822D:	8E9107  	STX $0791
808230:	6B      	RTL

#######WRITE PPU FUNCTION###########
808231:	0B      	PHD 
808232:	5A      	PHY 
808233:	F40000  	PEA $0000
808236:	2B      	PLD 
808237:	BD0000  	LDA $0000,x
80823A:	8501    	STA $01
80823C:	E8      	INX 
80823D:	BC0000  	LDY $0000,x
808240:	E8      	INX 
808241:	E8      	INX 
808242:	BD0000  	LDA $0000,x
808245:	8500    	STA $00
808247:	E8      	INX 
808248:	BD0000  	LDA $0000,x
80824B:	9200    	STA ($00)
80824D:	E8      	INX 
80824E:	88      	DEY 
80824F:	D0F1    	BNE $8242
808251:	7A      	PLY 
808252:	2B      	PLD 
808253:	6B      	RTL

808292:	8B      	PHB 
808293:	F40000  	PEA $0000
808296:	AB      	PLB 
808297:	AB      	PLB 
808298:	C220    	REP #$20
80829A:	A91000  	LDA #$0010
80829D:	8D0000  	STA $0000
8082A0:	BD0000  	LDA $0000,x
8082A3:	8D0200  	STA $0002
8082A6:	E8      	INX 
8082A7:	E8      	INX 
8082A8:	A08E00  	LDY #$008E
8082AB:	4E0200  	LSR $0002
8082AE:	9008    	BCC $82B8
8082B0:	A91F00  	LDA #$001F
8082B3:	540000  	MVN $00,$00
8082B6:	8006    	BRA $82BE
8082B8:	98      	TYA 
8082B9:	18      	CLC 
8082BA:	692000  	ADC #$0020
8082BD:	A8      	TAY 
8082BE:	CE0000  	DEC $0000
8082C1:	D0E8    	BNE $82AB
8082C3:	E220    	SEP #$20
8082C5:	AB      	PLB 
8082C6:	6B      	RTL


818000:	A980    	LDA #$80
818002:	8D0021  	STA $2100
818005:	A2688C  	LDX #$8C68
818008:	22318200	JSR $008231
81800C:	20EF81  	JSR $81EF		dma imax title
81800F:	203182  	JSR $8231		dma imax tilemap
818012:	A28E8C  	LDX #$8C8E
818015:	22928200	JSR $008292	write color buffer
818019:	A968    	LDA #$68
81801B:	8D0008  	STA $0800
81801E:	8D0308  	STA $0803
818021:	A2E800  	LDX #$00E8
818024:	8E0108  	STX $0801
818027:	A21800  	LDX #$0018
81802A:	8E0408  	STX $0804
81802D:	9C0608  	STZ $0806
818030:	F40043  	PEA $4300
818033:	2B      	PLD 
818034:	A900    	LDA #$00
818036:	8F0C4200	STA $00420C
81803A:	A2020E  	LDX #$0E02
81803D:	8600    	STX $00
81803F:	A20008  	LDX #$0800
818042:	8602    	STX $02
818044:	6404    	STZ $04
818046:	6407    	STZ $07
818048:	A901    	LDA #$01
81804A:	8D4D00  	STA $004D
81804D:	A90F    	LDA #$0F
81804F:	8D0021  	STA $2100
818052:	A903    	LDA #$03
818054:	8D2208  	STA $0822
818057:	A9F6    	LDA #$F6
818059:	22B88382	JSR $8283B8	SFX?
81805D:	A901    	LDA #$01
81805F:	227B8382	JSR $82837B  BGM: $828364
818063:	9CDC06  	STZ $06DC
818066:	9C4100  	STZ $0041
818069:	AD4100  	LDA $0041
81806C:	F0FB    	BEQ $8069
81806E:	229D8482	JSR $82849D
818072:	A900    	LDA #$00
818074:	EB      	XBA 
818075:	ADDC06  	LDA $06DC
818078:	0A      	ASL
818079:	AA      	TAX 
81807A:	7C7D80  	JMP ($807D,x)

8182BB:	8B      	PHB 
8182BC:	F40000  	PEA $0000
8182BF:	AB      	PLB 
8182C0:	AB      	PLB 
8182C1:	A980    	LDA #$80
8182C3:	8D0021  	STA $2100
8182C6:	A2F08C  	LDX #$8CF0
8182C9:	22318200	JSR $008231
8182CD:	226A8200	JSR $00826A	init oam table
8182D1:	22CDD581	JSR $81D5CD
8182D5:	20A084  	JSR $84A0		dma title set
8182D8:	20E284  	JSR $84E2		dma hiryu set + shadow
8182DB:	202485  	JSR $8524		dma bg2 map
8182DE:	209786  	JSR $8697
8182E1:	A2588D  	LDX #$8D58
8182E4:	22928200	JSR $008292	write color buffer
8182E8:	A9F6    	LDA #$F6				sfx
8182EA:	22B88382	JSR $8283B8
8182EE:	A902    	LDA #$02		Bgm
8182F0:	22648382	JSR $828364
8182F4:	A900    	LDA #$00
8182F6:	8D0021  	STA $2100
8182F9:	9CF00F  	STZ $0FF0
8182FC:	9CF10F  	STZ $0FF1
8182FF:	9CF20F  	STZ $0FF2
818302:	A901    	LDA #$01
818304:	8DF30F  	STA $0FF3
818307:	9CF017  	STZ $17F0
81830A:	9CF117  	STZ $17F1
81830D:	9CD906  	STZ $06D9
818310:	9CDC06  	STZ $06DC
818313:	9C4100  	STZ $0041
818316:	22098382	JSR $828309
81831A:	AD4100  	LDA $0041
81831D:	F0F7    	BEQ $8316
81831F:	200186  	JSR $8601		dma bg1 map
818322:	202986  	JSR $8629
818325:	A900    	LDA #$00
818327:	EB      	XBA 
818328:	ADDC06  	LDA $06DC
81832B:	0A      	ASL
81832C:	AA      	TAX 
81832D:	7C3083  	JMP ($8330,x)
818330:	3E836C  	ROL $6C83,x
818333:	8393    	STA $93,S
818335:	83CB    	STA $CB,S
818337:	83DA    	STA $DA,S
818339:	8307    	STA $07,S
81833B:	843F    	STY $3F
81833D:	8420    	STY $20
81833F:	558E    	EOR $8E,x
818341:	9007    	BCC $834A
818343:	A905    	LDA #$05
818345:	8DDC06  	STA $06DC
818348:	801F    	BRA $8369
81834A:	229D8482	JSR $82849D
81834E:	CEF017  	DEC $17F0
818351:	1016    	BPL $8369
818353:	A904    	LDA #$04
818355:	8DF017  	STA $17F0
818358:	ADF117  	LDA $17F1
81835B:	8D0021  	STA $2100
81835E:	1A      	INC A
81835F:	8DF117  	STA $17F1
818362:	C910    	CMP #$10
818364:	9003    	BCC $8369
818366:	EEDC06  	INC $06DC
818369:	4C1383  	JMP $8313
81836C:	20558E  	JSR $8E55
81836F:	9007    	BCC $8378
818371:	A905    	LDA #$05
818373:	8DDC06  	STA $06DC
818376:	8018    	BRA $8390
818378:	229D8482	JSR $82849D
81837C:	200187  	JSR $8701
81837F:	900F    	BCC $8390
818381:	204A88  	JSR $884A		imax 1994 map
818384:	9CF017  	STZ $17F0
818387:	A943    	LDA #$43
818389:	22CB8382	JSR $8283CB
81838D:	EEDC06  	INC $06DC
818390:	4C1383  	JMP $8313
818393:	20558E  	JSR $8E55
818396:	9007    	BCC $839F
818398:	A905    	LDA #$05
81839A:	8DDC06  	STA $06DC
81839D:	8029    	BRA $83C8
81839F:	200187  	JSR $8701
8183A2:	229D8482	JSR $82849D
8183A6:	CEF017  	DEC $17F0
8183A9:	101D    	BPL $83C8
8183AB:	A901    	LDA #$01
8183AD:	8DF017  	STA $17F0
8183B0:	22718282	JSR $828271
8183B4:	9012    	BCC $83C8
8183B6:	9C4D00  	STZ $004D
8183B9:	20B388  	JSR $88B3
8183BC:	9CF017  	STZ $17F0
8183BF:	9CF117  	STZ $17F1
8183C2:	9CD906  	STZ $06D9
8183C5:	EEDC06  	INC $06DC
8183C8:	4C1383  	JMP $8313
8183CB:	A94A    	LDA #$4A
8183CD:	8F082100	STA $002108
8183D1:	205B87  	JSR $875B
8183D4:	EEDC06  	INC $06DC
8183D7:	4C1383  	JMP $8313
8183DA:	20558E  	JSR $8E55
8183DD:	9007    	BCC $83E6
8183DF:	A905    	LDA #$05
8183E1:	8DDC06  	STA $06DC
8183E4:	801E    	BRA $8404
8183E6:	229D8482	JSR $82849D
8183EA:	209587  	JSR $8795
8183ED:	9015    	BCC $8404
8183EF:	20B388  	JSR $88B3
8183F2:	9CF017  	STZ $17F0
8183F5:	9CF117  	STZ $17F1
8183F8:	9CD906  	STZ $06D9
8183FB:	A20003  	LDX #$0300
8183FE:	8EB007  	STX $07B0
818401:	EEDC06  	INC $06DC
818404:	4C1383  	JMP $8313
818407:	229D8482	JSR $82849D
81840B:	20E888  	JSR $88E8
81840E:	20838D  	JSR $8D83
818411:	ADF417  	LDA $17F4
818414:	D016    	BNE $842C
818416:	AEB007  	LDX $07B0
818419:	CA      	DEX 
81841A:	8EB007  	STX $07B0
81841D:	D01D    	BNE $843C
81841F:	A2010F  	LDX #$0F01
818422:	8EF517  	STX $17F5
818425:	A903    	LDA #$03
818427:	8DD906  	STA $06D9
81842A:	8006    	BRA $8432
81842C:	A910    	LDA #$10
81842E:	22CB8382	JSR $8283CB
818432:	A908    	LDA #$08
818434:	8DF717  	STA $17F7
818437:	EEDC06  	INC $06DC
81843A:	8000    	BRA $843C
81843C:	4C1383  	JMP $8313
81843F:	CEF717  	DEC $17F7
818442:	D006    	BNE $844A
818444:	A9F5    	LDA #$F5
818446:	22B88382	JSR $8283B8
81844A:	20E888  	JSR $88E8
81844D:	20E38D  	JSR $8DE3
818450:	B006    	BCS $8458
818452:	20B88D  	JSR $8DB8
818455:	4C1383  	JMP $8313
818458:	A9F6    	LDA #$F6
81845A:	22B88382	JSR $8283B8
81845E:	F47E7E  	PEA $7E7E
818461:	AB      	PLB 
818462:	AB      	PLB 
818463:	9CDA06  	STZ $06DA
818466:	9C5534  	STZ $3455
818469:	9C2C3B  	STZ $3B2C
81846C:	9CD934  	STZ $34D9
81846F:	9CB03B  	STZ $3BB0
818472:	20C38E  	JSR $8EC3
818475:	ADD906  	LDA $06D9
818478:	C901    	CMP #$01
81847A:	9014    	BCC $8490
81847C:	F00A    	BEQ $8488
81847E:	A901    	LDA #$01
818480:	8DE531  	STA $31E5
818483:	8DBC38  	STA $38BC
818486:	8010    	BRA $8498
818488:	9CE531  	STZ $31E5
81848B:	9CBC38  	STZ $38BC
81848E:	8008    	BRA $8498
818490:	9CE531  	STZ $31E5
818493:	A901    	LDA #$01
818495:	8DBC38  	STA $38BC
818498:	9CDC06  	STZ $06DC
81849B:	9C4100  	STZ $0041
81849E:	AB      	PLB 
81849F:	6B      	RTL

8184A0:	A20080  	LDX #$8000
8184A3:	A00080  	LDY #$8000
8184A6:	8EDD06  	STX $06DD
8184A9:	8CE006  	STY $06E0
8184AC:	A906    	LDA #$06
8184AE:	8DDF06  	STA $06DF
8184B1:	A97E    	LDA #$7E
8184B3:	8DE206  	STA $06E2
8184B6:	22F68182	JSR $8281F6
8184BA:	F40043  	PEA $4300
8184BD:	2B      	PLD 
8184BE:	A980    	LDA #$80  dma title screen set
8184C0:	8D1521  	STA $2115
8184C3:	A20118  	LDX #$1801
8184C6:	8670    	STX $70
8184C8:	A20080  	LDX #$8000
8184CB:	A97E    	LDA #$7E
8184CD:	8672    	STX $72
8184CF:	8574    	STA $74
8184D1:	A20000  	LDX #$0000
8184D4:	8E1621  	STX $2116
8184D7:	A2C07B  	LDX #$7BC0
8184DA:	8675    	STX $75
8184DC:	A980    	LDA #$80
8184DE:	8D0B42  	STA $420B
8184E1:	60      	RTS

8184E2:	A22CCF  	LDX #$CF2C
8184E5:	A00080  	LDY #$8000
8184E8:	8EDD06  	STX $06DD
8184EB:	8CE006  	STY $06E0
8184EE:	A905    	LDA #$05
8184F0:	8DDF06  	STA $06DF
8184F3:	A97E    	LDA #$7E
8184F5:	8DE206  	STA $06E2
8184F8:	22F68182	JSR $8281F6
8184FC:	F40043  	PEA $4300
8184FF:	2B      	PLD 
818500:	A980    	LDA #$80
818502:	8D1521  	STA $2115
818505:	A20118  	LDX #$1801
818508:	8670    	STX $70
81850A:	A20080  	LDX #$8000
81850D:	A97E    	LDA #$7E
81850F:	8672    	STX $72
818511:	8574    	STA $74
818513:	A20060  	LDX #$6000
818516:	8E1621  	STX $2116
818519:	A2000C  	LDX #$0C00
81851C:	8675    	STX $75
81851E:	A980    	LDA #$80
818520:	8D0B42  	STA $420B
818523:	60      	RTS

818524:	8B      	PHB 
818525:	A274CE  	LDX #$CE74
818528:	A00080  	LDY #$8000
81852B:	8EDD06  	STX $06DD
81852E:	8CE006  	STY $06E0
818531:	A905    	LDA #$05
818533:	8DDF06  	STA $06DF
818536:	A97E    	LDA #$7E
818538:	8DE206  	STA $06E2
81853B:	22F68182	JSR $8281F6
81853F:	F47E7E  	PEA $7E7E
818542:	AB      	PLB 
818543:	AB      	PLB 
818544:	A20080  	LDX #$8000
818547:	22EA8581	JSR $8185EA		write tile pro
81854B:	C220    	REP #$20
81854D:	A20008  	LDX #$0800
818550:	A00208  	LDY #$0802
818553:	A9502A  	LDA #$2A50
818556:	8D0008  	STA $0800
818559:	A9FD0F  	LDA #$0FFD
81855C:	540000  	MVN $00,$00
81855F:	A20080  	LDX #$8000
818562:	A04016  	LDY #$1640
818565:	A97F01  	LDA #$017F
818568:	54007E  	MVN $00,$7E
81856B:	A08009  	LDY #$0980
81856E:	A97F06  	LDA #$067F
818571:	54007E  	MVN $00,$7E
818574:	A24816  	LDX #$1648
818577:	20CC85  	JSR $85CC
81857A:	A27216  	LDX #$1672
81857D:	20CC85  	JSR $85CC
818580:	E220    	SEP #$20
818582:	F40043  	PEA $4300
818585:	2B      	PLD 
818586:	A980    	LDA #$80
818588:	8D1521  	STA $2115
81858B:	A20118  	LDX #$1801
81858E:	8670    	STX $70
818590:	A20048  	LDX #$4800
818593:	8E1621  	STX $2116
818596:	A20008  	LDX #$0800
818599:	A900    	LDA #$00
81859B:	8672    	STX $72
81859D:	8574    	STA $74
81859F:	A20010  	LDX #$1000
8185A2:	8675    	STX $75
8185A4:	A980    	LDA #$80
8185A6:	8D0B42  	STA $420B
8185A9:	A2FFCE  	LDX #$CEFF
8185AC:	A00008  	LDY #$0800
8185AF:	8EDD06  	STX $06DD
8185B2:	8CE006  	STY $06E0
8185B5:	A905    	LDA #$05
8185B7:	8DDF06  	STA $06DF
8185BA:	A97E    	LDA #$7E
8185BC:	8DE206  	STA $06E2
8185BF:	22F68182	JSR $8281F6
8185C3:	A20008  	LDX #$0800
8185C6:	22EA8581	JSR $8185EA write tile pro
8185CA:	AB      	PLB 
8185CB:	60      	RTS

8185CC:	A90600  	LDA #$0006
8185CF:	8D0000  	STA $0000
8185D2:	A9502A  	LDA #$2A50
8185D5:	9D0000  	STA $0000,x
8185D8:	9D0200  	STA $0002,x
8185DB:	9D0400  	STA $0004,x
8185DE:	8A      	TXA 
8185DF:	18      	CLC 
8185E0:	694000  	ADC #$0040
8185E3:	AA      	TAX 
8185E4:	CE0000  	DEC $0000
8185E7:	D0E9    	BNE $85D2
8185E9:	60      	RTS

81884A:	C220    	REP #$20
81884C:	A9502A  	LDA #$2A50
81884F:	A20012  	LDX #$1200
818852:	A04000  	LDY #$0040
818855:	9D0000  	STA $0000,x
818858:	E8      	INX 
818859:	E8      	INX 
81885A:	88      	DEY 
81885B:	D0F8    	BNE $8855
81885D:	A9C02B  	LDA #$2BC0
818860:	A21412  	LDX #$1214
818863:	A00E00  	LDY #$000E
818866:	9D0000  	STA $0000,x
818869:	18      	CLC 
81886A:	691000  	ADC #$0010
81886D:	9D4000  	STA $0040,x
818870:	38      	SEC 
818871:	E90F00  	SBC #$000F
818874:	E8      	INX 
818875:	E8      	INX 
818876:	88      	DEY 
818877:	D0ED    	BNE $8866
818879:	A98000  	LDA #$0080
81887C:	A2E049  	LDX #$49E0
81887F:	A00012  	LDY #$1200
818882:	8D4E00  	STA $004E
818885:	8E5000  	STX $0050
818888:	8C5200  	STY $0052
81888B:	9C5400  	STZ $0054
81888E:	A2CE00  	LDX #$00CE
818891:	A01000  	LDY #$0010
818894:	A9FF7F  	LDA #$7FFF
818897:	9D0000  	STA $0000,x
81889A:	E8      	INX 
81889B:	E8      	INX 
81889C:	88      	DEY 
81889D:	D0F8    	BNE $8897
81889F:	A29A8D  	LDX #$8D9A
8188A2:	A0CE00  	LDY #$00CE
8188A5:	8EFC06  	STX $06FC
8188A8:	8CFE06  	STY $06FE
8188AB:	E220    	SEP #$20
8188AD:	A901    	LDA #$01
8188AF:	8D4200  	STA $0042
8188B2:	60      	RTS

8188E8:	A20010  	LDX #$1000
8188EB:	8E0007  	STX $0700
8188EE:	BC0000  	LDY $0000,x
8188F1:	F01F    	BEQ $8912
8188F3:	FC0000  	JSR ($0000,x)
8188F6:	AE0007  	LDX $0700
8188F9:	DE0500  	DEC $0005,x
8188FC:	1011    	BPL $890F
8188FE:	BD0700  	LDA $0007,x
818901:	1A      	INC A
818902:	DD0800  	CMP $0008,x
818905:	9002    	BCC $8909
818907:	A900    	LDA #$00
818909:	9D0700  	STA $0007,x
81890C:	202489  	JSR $8924
81890F:	208489  	JSR $8984
818912:	C220    	REP #$20
818914:	AD0007  	LDA $0700
818917:	18      	CLC 
818918:	692000  	ADC #$0020
81891B:	AA      	TAX 
81891C:	E220    	SEP #$20
81891E:	E0C010  	CPX #$10C0
818921:	90C8    	BCC $88EB
818923:	60      	RTS

818924:	8B      	PHB 
818925:	F40000  	PEA $0000
818928:	AB      	PLB 
818929:	AB      	PLB 
81892A:	BD0700  	LDA $0007,x
81892D:	C220    	REP #$20
81892F:	29FF00  	AND #$00FF
818932:	8D0000  	STA $0000
818935:	0A      	ASL
818936:	18      	CLC 
818937:	6D0000  	ADC $0000
81893A:	18      	CLC 
81893B:	7D1200  	ADC $0012,x
81893E:	A8      	TAY 
81893F:	E220    	SEP #$20
818941:	B90000  	LDA $0000,Y
818944:	9D0500  	STA $0005,x
818947:	C220    	REP #$20
818949:	B90100  	LDA $0001,Y
81894C:	A8      	TAY 
81894D:	BD0D00  	LDA $000D,x
818950:	29FF00  	AND #$00FF
818953:	8D0000  	STA $0000
818956:	BD1000  	LDA $0010,x
818959:	AA      	TAX 
81895A:	B90200  	LDA $0002,Y
81895D:	9D9002  	STA $0290,x
818960:	B90400  	LDA $0004,Y
818963:	290100  	AND #$0001
818966:	D006    	BNE $896E
818968:	2271A982	JSR $82A971
81896C:	8004    	BRA $8972
81896E:	223DA982	JSR $82A93D
818972:	E8      	INX 
818973:	E8      	INX 
818974:	E8      	INX 
818975:	E8      	INX 
818976:	C8      	INY 
818977:	C8      	INY 
818978:	C8      	INY 
818979:	C8      	INY 
81897A:	C8      	INY 
81897B:	CE0000  	DEC $0000
81897E:	D0DA    	BNE $895A
818980:	E220    	SEP #$20
818982:	AB      	PLB 
818983:	60      	RTS

818984:	8B      	PHB 
818985:	F40000  	PEA $0000
818988:	AB      	PLB 
818989:	AB      	PLB 
81898A:	AE0007  	LDX $0700
81898D:	BD0700  	LDA $0007,x
818990:	C220    	REP #$20
818992:	29FF00  	AND #$00FF
818995:	8D0000  	STA $0000
818998:	0A      	ASL
818999:	18      	CLC 
81899A:	6D0000  	ADC $0000
81899D:	18      	CLC 
81899E:	7D1200  	ADC $0012,x
8189A1:	A8      	TAY 
8189A2:	B90100  	LDA $0001,Y
8189A5:	A8      	TAY 
8189A6:	BD0300  	LDA $0003,x
8189A9:	8D0200  	STA $0002
8189AC:	BD0D00  	LDA $000D,x
8189AF:	29FF00  	AND #$00FF
8189B2:	8D0000  	STA $0000
8189B5:	BD1000  	LDA $0010,x
8189B8:	AA      	TAX 
8189B9:	E220    	SEP #$20
8189BB:	B90000  	LDA $0000,Y
8189BE:	3015    	BMI $89D5
8189C0:	18      	CLC 
8189C1:	6D0200  	ADC $0002
8189C4:	9D8E02  	STA $028E,x
8189C7:	9006    	BCC $89CF
8189C9:	2299A982	JSR $82A999
8189CD:	8019    	BRA $89E8
8189CF:	22CDA982	JSR $82A9CD
8189D3:	8013    	BRA $89E8
8189D5:	18      	CLC 
8189D6:	6D0200  	ADC $0002
8189D9:	9D8E02  	STA $028E,x
8189DC:	9006    	BCC $89E4
8189DE:	22CDA982	JSR $82A9CD
8189E2:	8004    	BRA $89E8
8189E4:	2299A982	JSR $82A999
8189E8:	AD0300  	LDA $0003
8189EB:	18      	CLC 
8189EC:	790100  	ADC $0001,Y
8189EF:	9D8F02  	STA $028F,x
8189F2:	E8      	INX 
8189F3:	E8      	INX 
8189F4:	E8      	INX 
8189F5:	E8      	INX 
8189F6:	C8      	INY 
8189F7:	C8      	INY 
8189F8:	C8      	INY 
8189F9:	C8      	INY 
8189FA:	C8      	INY 
8189FB:	CE0000  	DEC $0000
8189FE:	D0BB    	BNE $89BB
818A00:	AB      	PLB 
818A01:	60      	RTS

818B53:	AE0007  	LDX $0700
818B56:	DE0900  	DEC $0009,x
818B59:	1049    	BPL $8BA4
818B5B:	BD0A00  	LDA $000A,x
818B5E:	9D0900  	STA $0009,x
818B61:	C220    	REP #$20
818B63:	BD0B00  	LDA $000B,x
818B66:	29FF00  	AND #$00FF
818B69:	0A      	ASL
818B6A:	18      	CLC 
818B6B:	7D1400  	ADC $0014,x
818B6E:	A8      	TAY 
818B6F:	E220    	SEP #$20
818B71:	BD0E00  	LDA $000E,x
818B74:	D00C    	BNE $8B82
818B76:	BD0300  	LDA $0003,x
818B79:	18      	CLC 
818B7A:	790000  	ADC $0000,Y
818B7D:	9D0300  	STA $0003,x
818B80:	800A    	BRA $8B8C
818B82:	BD0300  	LDA $0003,x
818B85:	38      	SEC 
818B86:	F90000  	SBC $0000,Y
818B89:	9D0300  	STA $0003,x
818B8C:	BD0400  	LDA $0004,x
818B8F:	18      	CLC 
818B90:	790100  	ADC $0001,Y
818B93:	9D0400  	STA $0004,x
818B96:	BD0B00  	LDA $000B,x
818B99:	1A      	INC A
818B9A:	DD0C00  	CMP $000C,x
